A,TOTAL,FA,HA,LU	137690 	138110 	137920 	137790 	137380 	138420 	138340 
A,TOTAL,FA,HA,LV	3001870 	2848390 	2879180 	3058790 	3028490 	2830130 	: 
A,TOTAL,FA,HA,ME	: 	: 	309220 	: 	: 	: 	: 
A,TOTAL,FA,HA,MK	: 	: 	: 	380460 	: 	: 	: 
A,TOTAL,FA,HA,MT	11790 	11680 	12940 	11980 	12250 	10530 	9490 
A,TOTAL,FA,HA,NL	2035310 	2074870 	2018700 	2008940 	1963680 	1947140 	2005870 
A,TOTAL,FA,HA,NO	2099330 	2129800 	4015620 	5455290 	5187140 	5231810 	: 
A,TOTAL,FA,HA,PL	17424100 	18098970 	16982580 	16487740 	16236440 	16662370 	: 
A,TOTAL,FA,HA,PT	4779430 	4408430 	4709130 	4625700 	4663170 	5121480 	4990210 
A,TOTAL,FA,HA,RO	15420640 	15264660 	15695050 	14661400 	13864520 	13787280 	12813690 
A,TOTAL,FA,HA,RS	: 	: 	5346610 	: 	: 	: 	: 
A,TOTAL,FA,HA,SE	7061920 	7066250 	6759760 	6531680 	6365560 	6837930 	6931330 
A,TOTAL,FA,HA,SI	921310 	921250 	905990 	902160 	906460 	906640 	: 
A,TOTAL,FA,HA,SK	3113710 	3055040 	3063000 	3067090 	3077470 	3016240 	2903960 
A,TOTAL,FA,HA,UK	16839880 	16935920 	18009990 	18362430 	18294420 	: 	: 
A,TOTAL,J0000T,HA,AT	1788470 	1730260 	1439470 	1296270 	1257750 	1209980 	1182050 
A,TOTAL,J0000T,HA,BE	519100 	511450 	499690 	486600 	478430 	476120 	: 
A,TOTAL,J0000T,HA,BG	106910 	279580 	1240590 	1271320 	1143680 	1142670 	1043420 i
A,TOTAL,J0000T,HA,CH	632440 	626840 	619650 	: 	619760 	612700 	: 
A,TOTAL,J0000T,HA,CY	440 	1860 	2140 	1850 	1380 	2260 	2110 
A,TOTAL,J0000T,HA,CZ	874620 	909180 	928820 	960080 	944890 	978090 	965140 
A,TOTAL,J0000T,HA,DE	4928960 	4838570 	4654690 	4620980 	4692000 	4730270 	4704220 
A,TOTAL,J0000T,HA,DK	197610 	201050 	199860 	195480 	225620 	227830 	: 
A,TOTAL,J0000T,HA,EE	237080 	273390 	296060 	324560 	304280 	277660 	267130 
A,TOTAL,J0000T,HA,EL	824250 	819610 	2450240 	2102380 	1859250 	1568540 	1751740 
A,TOTAL,J0000T,HA,ES	8653210 	8649790 	8377390 	7962040 	7615990 	7533350 	7313140 i
A,TOTAL,J0000T,HA,EU27_2020	: 	46889590 	49940320 	48769080 	48865040 	47963710 	: 
A,TOTAL,J0000T,HA,FI	25650 	38470 	32950 	30670 	25590 	22340 	: 
A,TOTAL,J0000T,HA,FR	8131420 	8105260 	8418880 	8242240 	8602910 	9291150 	9217350 
A,TOTAL,J0000T,HA,HR	: 	178920 	339270 	618070 	607550 	539620 	538750 
A,TOTAL,J0000T,HA,HU	468770 	504150 	720900 	702720 	689990 	732600 	788930 
A,TOTAL,J0000T,HA,IE	3064910 	3130280 	3978530 	3915770 	4423590 	3708740 	: 
A,TOTAL,J0000T,HA,IS	: 	: 	1561620 	: 	: 	17595850 	: 
A,TOTAL,J0000T,HA,IT	3346950 	3451760 	3434070 	3316430 	3233230 	3133800 	: 
A,TOTAL,J0000T,HA,LT	890700 	819130 	605870 	560100 	768820 	650320 	543080 i
A,TOTAL,J0000T,HA,LU	67500 	68290 	67590 	66900 	67110 	68250 	69760 
A,TOTAL,J0000T,HA,LV	599260 	639520 	651050 	654270 	633670 	626140 	: 
A,TOTAL,J0000T,HA,ME	: 	: 	210180 	: 	: 	: 	: 
A,TOTAL,J0000T,HA,MK	: 	: 	: 	37900 	: 	: 	: 
A,TOTAL,J0000T,HA,MT	0 	0 	: @C	0 	0 	0 	0 
A,TOTAL,J0000T,HA,NL	808720 	820700 	813310 	773090 	729890 	772410 	758080 
A,TOTAL,J0000T,HA,NO	410450 	412190 	175840 	176390 	175500 	178300 	: 
A,TOTAL,J0000T,HA,PL	3020050 	3271240 	3229200 	3206310 	3175500 	3235050 	: 
A,TOTAL,J0000T,HA,PT	1768620 	1780580 	1784600 	1816590 	1876940 	2050450 	2098760 
A,TOTAL,J0000T,HA,RO	4530300 	4540140 	4506250 	4398350 	4245420 	3723530 	3617260 
A,TOTAL,J0000T,HA,RS	: 	: 	713240 	: 	: 	: 	: 
A,TOTAL,J0000T,HA,SE	509430 	487120 	451910 	442900 	451940 	463520 	452990 
A,TOTAL,J0000T,HA,SI	282120 	288220 	285710 	284780 	285060 	279600 	: 
A,TOTAL,J0000T,HA,SK	529910 	551090 	531270 	518340 	524530 	519430 	503560 
A,TOTAL,J0000T,HA,UK	9808920 	10007490 	10899970 	10791480 	10328500 	: 	: 
A,TOTAL,PECR,HA,AT	67970 	66200 	65200 	65160 	66640 	67710 	66360 
A,TOTAL,PECR,HA,BE	21000 	20850 	21580 	21870 	20490 	22730 	: 
A,TOTAL,PECR,HA,BG	80750 	89770 	99650 	94990 	100140 	101310 	89460 i
A,TOTAL,PECR,HA,CH	22750 	22850 	22630 	: 	23170 	20750 	: 
A,TOTAL,PECR,HA,CY	40810 	36250 	31350 	27320 	26260 	29480 	29030 
A,TOTAL,PECR,HA,CZ	39590 	37220 	36950 	39090 	37210 	37640 	37160 
A,TOTAL,PECR,HA,DE	197820 	198450 	198880 	199910 	202270 	198200 	199920 
A,TOTAL,PECR,HA,DK	9480 	9460 	27740 	26650 	27800 	28650 	: 
A,TOTAL,PECR,HA,EE	2950 	3190 	3120 	3460 	3470 	4120 	3420 
A,TOTAL,PECR,HA,EL	1088460 	1125940 	950310 	929100 	925370 	839290 	851720 
A,TOTAL,PECR,HA,ES	4259980 	4355270 	4088340 	4043260 	4150480 	4662880 	4597980 i
A,TOTAL,PECR,HA,EU27_2020	: 	10982400 	10669590 	10268410 	10469110 	11151020 	: 
A,TOTAL,PECR,HA,FI	4750 	4520 	4580 	3730 	3650 	3690 	: 
A,TOTAL,PECR,HA,FR	1106030 	1058510 	1018330 	1024470 	956890 	1032480 	1015610 
A,TOTAL,PECR,HA,HR	: 	52600 	78300 	72940 	71960 	76170 	77580 
A,TOTAL,PECR,HA,HU	167040 	155400 	151720 	138610 	150260 	158170 	149970 
A,TOTAL,PECR,HA,IE	1810 	1240 	970 	1590 	1690 	1750 	: 
A,TOTAL,PECR,HA,IS	: 	: 	60 	: 	: 	0 	: 
A,TOTAL,PECR,HA,IT	2285670 	2323180 	2381480 	2032690 	2201220 	2177860 	: 
A,TOTAL,PECR,HA,LT	28430 	20440 	21550 	23320 	25530 	26900 	24020 i
A,TOTAL,PECR,HA,LU	1550 	1510 	1500 	1530 	1540 	1570 	1570 
