A,TOTAL,T,Y25-34,HLD,EU27_2020	808850 	580260 	480410 	528620 	: 
A,TOTAL,T,Y25-34,HLD,FI	5110 	4190 	1360 	3210 	: 
A,TOTAL,T,Y25-34,HLD,FR	40800 	38000 	34590 	35150 	35640 
A,TOTAL,T,Y25-34,HLD,HR	8510 	6310 	5910 	8390 	9890 
A,TOTAL,T,Y25-34,HLD,HU	36360 	26630 	23200 	10550 	8600 
A,TOTAL,T,Y25-34,HLD,IE	8650 	7870 	6680 	7250 	: 
A,TOTAL,T,Y25-34,HLD,IS	120 	: 	: 	180 	: 
A,TOTAL,T,Y25-34,HLD,IT	71340 	40650 	41470 	52010 	: 
A,TOTAL,T,Y25-34,HLD,LT	9880 	8450 	9530 	8260 	7270 i
A,TOTAL,T,Y25-34,HLD,LU	140 	160 	150 	190 	180 
A,TOTAL,T,Y25-34,HLD,LV	4070 	3630 	2960 	3270 	: 
A,TOTAL,T,Y25-34,HLD,ME	2290 	: 	: 	: 	: 
A,TOTAL,T,Y25-34,HLD,MK	: 	6540 	: 	: 	: 
A,TOTAL,T,Y25-34,HLD,MT	530 	300 	340 	350 	340 
A,TOTAL,T,Y25-34,HLD,NL	2460 	1970 	2080 	2230 	2380 
A,TOTAL,T,Y25-34,HLD,NO	3820 	3200 	2750 	3260 	: 
A,TOTAL,T,Y25-34,HLD,PL	203000 	159430 	133890 	128040 	: 
A,TOTAL,T,Y25-34,HLD,PT	7280 	6060 	4540 	8140 	5690 
A,TOTAL,T,Y25-34,HLD,RO	247150 	151070 	98310 	142540 	99170 
A,TOTAL,T,Y25-34,HLD,RS	26160 	: 	: 	: 	: 
A,TOTAL,T,Y25-34,HLD,SE	3020 	2710 	3060 	3350 	2910 
A,TOTAL,T,Y25-34,HLD,SI	2930 	3120 	2850 	2950 	: 
A,TOTAL,T,Y25-34,HLD,SK	1560 	1670 	2330 	1890 	1690 
A,TOTAL,T,Y25-34,HLD,UK	5620 	6180 	6690 	: 	: 
A,TOTAL,T,Y35-39,HLD,AT	: 	: 	13290 	11460 	10930 
A,TOTAL,T,Y35-39,HLD,BE	: 	: 	1550 	2160 	: 
A,TOTAL,T,Y35-39,HLD,BG	: 	: 	13390 	8860 	7620 i
A,TOTAL,T,Y35-39,HLD,CH	: 	: 	4730 	2140 	: 
A,TOTAL,T,Y35-39,HLD,CY	: 	: 	680 	870 	660 
A,TOTAL,T,Y35-39,HLD,CZ	: 	: 	1530 	2300 	2340 
A,TOTAL,T,Y35-39,HLD,DE	: 	: 	20010 	18900 	18810 
A,TOTAL,T,Y35-39,HLD,DK	: 	: 	1400 	1280 	: 
A,TOTAL,T,Y35-39,HLD,EE	: 	: 	1140 	790 	870 
A,TOTAL,T,Y35-39,HLD,EL	: 	: 	31920 	19640 	17830 
A,TOTAL,T,Y35-39,HLD,ES	: 	: 	45140 	45310 	36510 i
A,TOTAL,T,Y35-39,HLD,EU27_2020	: 	: 	574980 	502440 	: 
A,TOTAL,T,Y35-39,HLD,FI	: 	: 	2470 	3560 	: 
A,TOTAL,T,Y35-39,HLD,FR	: 	: 	33310 	32960 	35310 
A,TOTAL,T,Y35-39,HLD,HR	: 	: 	7270 	7950 	7540 
A,TOTAL,T,Y35-39,HLD,HU	: 	: 	28540 	11830 	9550 
A,TOTAL,T,Y35-39,HLD,IE	: 	: 	9460 	6110 	: 
A,TOTAL,T,Y35-39,HLD,IS	: 	: 	: 	110 	: 
A,TOTAL,T,Y35-39,HLD,IT	: 	: 	44490 	43030 	: 
A,TOTAL,T,Y35-39,HLD,LT	: 	: 	7500 	6340 	5940 i
A,TOTAL,T,Y35-39,HLD,LU	: 	: 	140 	150 	170 
A,TOTAL,T,Y35-39,HLD,LV	: 	: 	3300 	3080 	: 
A,TOTAL,T,Y35-39,HLD,MT	: 	: 	310 	390 	340 
A,TOTAL,T,Y35-39,HLD,NL	: 	: 	2550 	2400 	2580 
