freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,10000,PROD_BP,MIO_EUR,SK	1210.88 	1273.13 	1126.96 	1364.46 	1272.44 	1236.37 	1211.62 	1288.88 	1485.07 	1776.23 	1607.23 	1497.36 
A,10000,PROD_BP,MIO_EUR,UK	11086.82 	11393.32 	11595.78 	9969.81 	10718.24 	10666.95 	11392.11 	9803.06 e	: 	: 	: 	: 
A,10000,PROD_PP,MIO_EUR,AT	2978.38 	2958.27 	3012.21 	3069.29 	3134.84 	3234.17 	3214.26 	3337.60 	4059.66 	5098.39 	4414.85 	4156.97 
A,10000,PROD_PP,MIO_EUR,BE	3771.09 	3461.39 	3626.37 	3596.12 	3569.65 	3639.85 	3916.10 	4033.51 	4934.72 	4934.72 	5158.56 	5018.60 
A,10000,PROD_PP,MIO_EUR,BG	2620.81 	2698.55 	2520.02 	2572.88 	2718.69 	2824.48 	2822.95 	2616.22 	4089.80 	4902.19 	3586.78 	3237.22 
A,10000,PROD_PP,MIO_EUR,CH	3113.34 	3581.07 	3493.19 	3828.35 	3559.57 	3461.19 	3953.55 	3842.58 	3450.58 	4158.24 	4348.62 	4208.97 
A,10000,PROD_PP,MIO_EUR,CY	310.65 	263.02 	289.32 	247.28 	285.02 	273.82 	285.41 	279.41 	290.85 	324.25 	352.60 	347.77 
A,10000,PROD_PP,MIO_EUR,CZ	2919.57 	2882.08 	2742.58 	2949.70 	2815.37 	2961.97 	3110.53 	3300.66 	4042.31 	4643.11 	3927.32 	3640.85 
A,10000,PROD_PP,MIO_EUR,DE	28210.79 	28123.45 	24727.02 	24877.92 	25401.15 	22794.05 	27518.33 	28007.18 	29970.80 	36278.62 	35521.26 	34195.30 
A,10000,PROD_PP,MIO_EUR,DK	3473.08 	3460.50 	3691.48 	3206.14 	3635.94 	3510.28 	3758.23 	4000.92 	4542.11 	5460.56 	4212.55 	4292.20 
A,10000,PROD_PP,MIO_EUR,EA19	168012.86 	163756.79 	167239.11 	164171.46 	168064.41 	174601.60 	178628.18 	176891.14 	196723.30 	226785.46 	220446.33 	215624.99 
A,10000,PROD_PP,MIO_EUR,EA20	169412.81 	164871.02 	168416.49 	165428.38 	169289.80 	175973.91 	179995.66 	178291.88 	198323.71 	228725.32 	221992.02 	217343.59 
A,10000,PROD_PP,MIO_EUR,EE	382.24 	384.39 	467.22 	317.75 	369.28 	348.97 	502.79 	483.79 	565.29 	815.39 	517.92 	521.44 
A,10000,PROD_PP,MIO_EUR,EL	6862.88 	6995.73 	7560.27 	7122.63 	7808.62 	7592.88 	7882.88 	7948.64 	8289.55 	10371.29 	11029.51 	11508.51 
A,10000,PROD_PP,MIO_EUR,ES	25659.64 	25370.64 	26890.47 	29098.22 	29684.21 	31105.74 	29807.02 	30188.76 	34931.38 	36903.46 	36562.01 	38664.19 
A,10000,PROD_PP,MIO_EUR,EU27_2020	209326.72 	203313.65 	204634.08 	202009.23 	208958.72 	216501.98 	222269.16 	219645.35 	248700.48 	287771.11 	273800.07 	265460.07 
A,10000,PROD_PP,MIO_EUR,FI	1772.59 	1627.53 	1594.09 	1582.80 	1527.78 	1576.03 	2118.91 	1836.13 	1716.03 	2455.78 	2052.08 	2155.57 
A,10000,PROD_PP,MIO_EUR,FR	41029.50 	41355.30 	42222.07 	38963.46 	40269.39 	44672.45 	43678.17 	39868.38 	45180.66 	53694.70 	50536.25 	43390.92 
A,10000,PROD_PP,MIO_EUR,HR	1399.95 	1114.23 	1177.38 	1256.92 	1225.39 	1372.30 	1367.49 	1400.73 	1600.41 	1939.86 	1545.70 	1718.60 
A,10000,PROD_PP,MIO_EUR,HU	4588.46 	4702.26 	4591.52 	4929.98 	4784.16 	4795.71 	4890.51 	4859.28 	5746.78 	5825.47 	6356.64 	5500.16 
A,10000,PROD_PP,MIO_EUR,IE	2066.36 	1747.49 	1737.28 	1767.43 	1889.64 	2125.24 	1885.00 	1957.37 	2150.89 	2654.44 	2632.29 	2816.93 
A,10000,PROD_PP,MIO_EUR,IS	110.85 	132.27 	114.34 	118.77 	134.62 	106.50 	111.48 	114.80 	124.94 	147.52 	149.77 	151.99 
A,10000,PROD_PP,MIO_EUR,IT	31354.64 	28599.13 	30902.36 	29291.65 	29392.95 	32136.25 	31320.54 	32481.48 	34651.53 	40567.24 	37912.48 	39227.36 
A,10000,PROD_PP,MIO_EUR,LT	1408.76 	1367.06 	1588.66 	1371.10 	1483.07 	1327.89 	1591.49 	1868.69 	1949.17 	2937.81 	2236.95 	2251.05 
A,10000,PROD_PP,MIO_EUR,LU	183.80 	207.02 	168.77 	168.18 	154.71 	165.96 	157.84 	152.59 	207.00 	218.87 	229.81 	249.75 
A,10000,PROD_PP,MIO_EUR,LV	665.18 	649.39 	776.70 	693.78 	715.32 	653.88 	910.00 	1014.25 	1019.62 	1358.07 	954.38 	979.98 
A,10000,PROD_PP,MIO_EUR,MK	1013.68 	1033.18 	1046.98 	1024.33 	903.80 	1092.48 	1059.83 	1101.48 	1002.42 	1211.36 	: 	: 
A,10000,PROD_PP,MIO_EUR,MT	49.54 	47.26 	53.98 	51.66 	47.72 	45.44 	49.05 	43.55 	44.35 	50.15 	56.32 	54.84 
A,10000,PROD_PP,MIO_EUR,NL	15784.83 	15074.46 	15767.65 	15992.11 	16194.63 	16510.12 	17199.66 	16580.50 	18627.56 	19262.60 	20369.27 	20271.99 
A,10000,PROD_PP,MIO_EUR,NO	1631.03 	1710.61 	1743.37 	1783.60 	1715.87 	1443.57 	1766.69 	1768.00 	1833.57 	2502.23 	2038.08 	2144.57 
A,10000,PROD_PP,MIO_EUR,PL	11405.49 	10890.21 	10086.81 	10240.88 	11192.80 	10680.05 	11593.29 	12740.87 	13454.63 	19581.88 	17154.59 	16925.37 
A,10000,PROD_PP,MIO_EUR,PT	3712.53 	3597.13 	4000.67 	3927.00 	4285.06 	4373.02 	4654.40 	4742.39 	5931.42 	6255.83 	7490.81 	7429.38 
A,10000,PROD_PP,MIO_EUR,RO	12184.61 	11039.97 	9802.07 	10055.94 	11647.86 	13153.46 	13269.41 	10914.36 	15028.32 	14583.45 	13396.09 	11120.07 
A,10000,PROD_PP,MIO_EUR,SE	2721.88 	2769.06 	2783.11 	2625.32 	2874.11 	2602.12 	2828.57 	2921.15 	3472.82 	4049.12 	3174.08 	3400.63 
A,10000,PROD_PP,MIO_EUR,SI	598.59 	655.07 	727.36 	676.76 	585.73 	797.89 	734.80 	786.15 	724.27 	832.61 	811.18 	878.18 
A,10000,PROD_PP,MIO_EUR,SK	1210.87 	1273.06 	1126.63 	1356.32 	1265.65 	1227.95 	1201.53 	1280.78 	1478.56 	1771.24 	1593.26 	1467.93 
A,10000,PROD_PP,MIO_EUR,UK	11086.82 	11393.32 	11595.78 	9969.81 	10718.24 	10666.95 	11392.11 	9803.06 e	: 	: 	: 	: 
