freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,20000,PROD_BP,MIO_EUR,UK	10827.14 	11944.57 	11579.89 	9885.83 	11592.40 	10722.97 	11558.33 	10225.90 e	: 	: 	: 	: 
A,20000,PROD_PP,MIO_EUR,AT	2723.34 	2723.86 	2736.63 	2881.88 	3243.72 	3128.84 	3065.35 	3149.76 	3654.85 	4447.62 	4333.23 	4334.34 
A,20000,PROD_PP,MIO_EUR,BE	2324.68 	2165.68 	2367.04 	2166.58 	2374.10 	2168.18 	2547.97 	2328.07 	2362.09 	2768.27 	3670.01 	3888.44 
A,20000,PROD_PP,MIO_EUR,BG	1562.66 	1588.88 	1407.68 	1539.33 	1669.45 	1600.61 	1632.45 	1610.81 	2535.39 	2893.65 	2029.49 	1916.21 
A,20000,PROD_PP,MIO_EUR,CH	2923.34 	3262.99 	3208.84 	3458.61 	3293.50 	3283.74 	3483.15 	3808.41 	3540.05 	3877.24 	4240.37 	4304.81 
A,20000,PROD_PP,MIO_EUR,CY	320.67 	267.73 	273.54 	318.80 	321.16 	308.38 	344.02 	352.50 	354.29 	336.37 	395.18 	426.04 
A,20000,PROD_PP,MIO_EUR,CZ	1409.95 	1456.36 	1423.40 	1581.94 	1587.17 	1617.38 	1678.85 	1850.76 	2216.98 	2509.87 	2226.89 	2259.12 
A,20000,PROD_PP,MIO_EUR,DE	22588.13 	22178.50 	16332.63 	17540.10 	22874.52 	18709.31 	23847.31 	21576.65 	22468.55 	31812.25 	30886.02 	31126.66 
A,20000,PROD_PP,MIO_EUR,DK	2814.92 	2986.19 	2146.39 	2069.59 	3089.32 	2477.11 	2983.25 	3589.26 	2981.60 	3361.34 	3066.21 	3719.78 
A,20000,PROD_PP,MIO_EUR,EA19	128506.22 	128604.28 	128162.23 	126283.43 	141767.12 	140004.90 	144326.94 	138888.36 	148263.35 	176309.90 	178727.76 	184359.10 
A,20000,PROD_PP,MIO_EUR,EA20	129433.20 	129357.93 	129003.84 	127182.10 	142667.55 	141004.95 	145367.41 	139934.30 	149619.68 	177947.53 	180011.49 	185882.14 
A,20000,PROD_PP,MIO_EUR,EE	328.73 	340.44 	255.82 	142.52 	253.36 	197.79 	274.39 	249.28 	249.12 	465.35 	218.48 	286.76 
A,20000,PROD_PP,MIO_EUR,EL	5059.08 	5257.78 	5721.35 	5079.79 	5585.52 	5268.40 	5644.39 	5466.14 	5396.37 	6409.45 	7119.75 	7532.00 
A,20000,PROD_PP,MIO_EUR,ES	22120.90 	22416.83 	23741.50 	26541.90 	28068.20 	27964.64 	27165.02 	27073.14 	29520.95 	28605.53 	33627.96 	36981.88 
A,20000,PROD_PP,MIO_EUR,EU27_2020	156036.12 	155088.98 	152366.89 	151431.84 	171135.32 	167769.86 	174189.81 	169697.89 	182326.75 	216006.12 	215858.73 	223281.16 
A,20000,PROD_PP,MIO_EUR,FI	845.69 	908.21 	695.00 	766.48 	808.77 	771.32 	1062.85 	1184.26 	1024.26 	1354.78 	1310.79 	1432.44 
A,20000,PROD_PP,MIO_EUR,FR	25355.60 	27916.76 	28443.02 	25124.15 	28681.87 	32452.78 	30512.47 	27915.98 	30637.51 	39127.13 	35687.65 	29933.32 
A,20000,PROD_PP,MIO_EUR,HR	926.98 	753.65 	841.61 	898.67 	900.43 	1000.04 	1040.47 	1045.94 	1356.32 	1637.63 	1283.73 	1523.04 
A,20000,PROD_PP,MIO_EUR,HU	2799.44 	3103.89 	2887.12 	3108.16 	3235.52 	3113.75 	3202.81 	3070.22 	3481.51 	3096.51 	3772.25 	3469.33 
A,20000,PROD_PP,MIO_EUR,IE	2042.03 	2207.78 	2554.55 	2351.96 	3190.66 	2618.39 	2801.59 	3270.74 	3964.05 	4980.82 	3440.01 	4718.58 
A,20000,PROD_PP,MIO_EUR,IS	25.83 	53.05 	83.55 	85.02 	81.16 	56.77 	61.86 	76.04 	77.52 	88.92 	94.54 	107.81 
A,20000,PROD_PP,MIO_EUR,IT	29752.89 	27245.13 	29389.06 	27654.68 	28726.57 	30137.46 	29365.17 	28807.61 	30062.64 	35162.23 	35099.60 	39542.56 
A,20000,PROD_PP,MIO_EUR,LT	848.58 	792.05 	863.95 	673.44 	908.04 	659.95 	900.68 	1147.31 	1144.52 	1617.58 	895.66 	1017.20 
A,20000,PROD_PP,MIO_EUR,LU	103.37 	131.35 	101.90 	100.35 	120.97 	125.74 	125.79 	126.48 	135.53 	172.56 	144.52 	171.20 
A,20000,PROD_PP,MIO_EUR,LV	245.70 	249.77 	319.58 	264.21 	375.41 	291.59 	515.66 	518.60 	555.97 	759.58 	372.68 	624.17 
A,20000,PROD_PP,MIO_EUR,MT	54.66 	53.81 	62.41 	63.20 	59.36 	56.37 	60.90 	53.38 	49.31 	51.78 	52.08 	53.60 
A,20000,PROD_PP,MIO_EUR,NL	10264.76 	10231.52 	10589.73 	11032.63 	12256.64 	11205.14 	11913.69 	11367.80 	12120.72 	13672.11 	15490.01 	16334.51 
A,20000,PROD_PP,MIO_EUR,NO	1198.40 	1238.23 	1319.35 	1343.96 	1265.57 	1003.46 	1080.25 	1132.46 	1192.21 	1232.38 	854.76 	1202.25 
A,20000,PROD_PP,MIO_EUR,PL	8802.83 	7818.65 	7278.98 	7900.95 	9378.25 	8261.50 	9085.13 	9759.12 	9247.93 	13578.10 	12804.94 	14709.59 
A,20000,PROD_PP,MIO_EUR,PT	2530.17 	2455.44 	2723.12 	2514.11 	2862.46 	2806.79 	3126.01 	3098.31 	3455.92 	3173.17 	4525.68 	4555.80 
A,20000,PROD_PP,MIO_EUR,RO	7621.29 	7110.08 	6501.24 	6537.95 	7714.07 	8328.45 	8790.05 	8273.04 	10123.67 	9929.62 	10013.28 	8943.99 
A,20000,PROD_PP,MIO_EUR,SE	1591.81 	1667.01 	1718.24 	1511.82 	1794.00 	1366.13 	1449.86 	1610.39 	2120.00 	2689.51 	2066.04 	2380.99 
A,20000,PROD_PP,MIO_EUR,SI	400.75 	465.97 	523.90 	469.58 	430.26 	619.62 	560.44 	583.94 	425.31 	523.11 	585.43 	679.07 
A,20000,PROD_PP,MIO_EUR,SK	596.49 	595.68 	467.50 	597.08 	625.52 	514.21 	493.24 	618.85 	681.39 	870.22 	731.75 	653.15 
A,20000,PROD_PP,MIO_EUR,UK	10802.68 	11918.95 	11529.50 	9831.97 	11539.69 	10670.72 	11504.74 	10172.98 e	: 	: 	: 	: 
