freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,18000,PROD_BP,MIO_EUR,SK	2406.96 	2391.81 	2160.67 	2391.10 	2390.19 	2317.75 	2261.12 	2348.02 	2484.81 	3001.11 	2914.02 	2801.24 
A,18000,PROD_BP,MIO_EUR,UK	30226.60 	31791.64 	32598.37 	28058.81 	29634.93 	29909.11 	30825.12 	29108.59 e	: 	: 	: 	: 
A,18000,PROD_PP,MIO_EUR,AT	7047.87 	7052.58 	6947.29 	7002.95 	7441.23 	7505.15 	7595.23 	7721.69 	8632.89 	10573.26 	10193.86 	9981.74 
A,18000,PROD_PP,MIO_EUR,BE	8626.85 	8147.41 	8196.51 	7992.41 	8374.56 	8247.35 	8785.03 	8913.74 	9983.41 	11624.86 	11739.22 	11697.48 
A,18000,PROD_PP,MIO_EUR,BG	4262.09 	4159.25 	3820.10 	3766.39 	3959.82 	4051.88 	4075.14 	3884.35 	5405.20 	6467.00 	5269.81 	4831.05 
A,18000,PROD_PP,MIO_EUR,CH	8520.63 	9163.53 	9456.83 	9692.51 	9389.92 	9127.69 	9908.76 	10289.55 	10042.56 	11340.44 	11936.86 	12079.77 
A,18000,PROD_PP,MIO_EUR,CY	697.21 	662.62 	680.03 	678.65 	723.41 	714.25 	738.51 	749.74 	785.82 	818.53 	911.66 	925.83 
A,18000,PROD_PP,MIO_EUR,CZ	4919.19 	4946.79 	4711.15 	4810.28 	4997.10 	5221.41 	5422.05 	5548.35 	6420.97 	7711.55 	7291.12 	6878.68 
A,18000,PROD_PP,MIO_EUR,DE	61844.25 	61188.32 	54859.96 	54180.00 	58981.88 	55149.04 	60516.08 	58832.58 	61590.27 	77923.88 	76338.18 	75468.66 
A,18000,PROD_PP,MIO_EUR,DK	10977.99 	11035.25 	10256.49 	10009.15 	11176.29 	10484.76 	11109.77 	11687.50 	11718.58 	13929.15 	12678.57 	12733.76 
A,18000,PROD_PP,MIO_EUR,EA19	319589.34 	314931.20 	311764.03 	305741.60 	322167.13 	326568.54 	334465.80 	329778.34 	356299.61 	426344.36 	427017.67 	422794.78 
A,18000,PROD_PP,MIO_EUR,EA20	321924.54 	316939.70 	313810.44 	307855.93 	324293.16 	328815.64 	336794.42 	332093.15 	358945.52 	429510.08 	429746.60 	425757.14 
A,18000,PROD_PP,MIO_EUR,EE	920.00 	896.29 	913.80 	741.15 	861.71 	851.11 	990.22 	987.89 	1106.61 	1607.36 	1284.40 	1283.08 
A,18000,PROD_PP,MIO_EUR,EL	10393.49 	10569.80 	11195.99 	10623.90 	11224.47 	10966.75 	11362.80 	11330.66 	11777.88 	14249.33 	15265.63 	15784.75 
A,18000,PROD_PP,MIO_EUR,ES	43566.20 	43514.22 	44845.58 	47625.46 	49862.66 	51366.19 	51009.52 	51018.97 	56487.14 	62292.95 	65825.87 	67871.59 
A,18000,PROD_PP,MIO_EUR,EU27_2020	397011.55 	390617.33 	383526.89 	377445.41 	400223.15 	404982.04 	416018.58 	410012.22 	447041.60 	536951.90 	530947.16 	526598.24 
A,18000,PROD_PP,MIO_EUR,FI	4640.70 	4496.69 	4169.90 	4173.69 	4117.98 	4231.48 	4763.77 	4457.13 	4314.51 	5459.57 	5119.82 	5092.76 
A,18000,PROD_PP,MIO_EUR,FR	73159.00 	74272.70 	74040.97 	69325.72 	72010.93 	77016.54 	76644.78 	73925.06 	80129.57 	96045.71 	95804.68 	87184.88 
A,18000,PROD_PP,MIO_EUR,HR	2335.20 	2008.50 	2046.40 	2114.34 	2126.03 	2247.09 	2328.63 	2314.82 	2645.91 	3165.72 	2728.92 	2962.36 
A,18000,PROD_PP,MIO_EUR,HU	7714.41 	7842.16 	7670.84 	7979.54 	8064.75 	8091.83 	8339.04 	8048.34 	9187.95 	10044.17 	11183.56 	10161.53 
A,18000,PROD_PP,MIO_EUR,IE	7712.03 	7327.62 	7487.12 	7437.10 	8522.20 	8643.76 	8398.71 	8833.38 	10093.06 	12883.75 	11411.96 	12400.63 
A,18000,PROD_PP,MIO_EUR,IS	314.80 	360.56 	368.69 	391.11 	420.69 	379.53 	371.22 	359.25 	388.98 	467.90 	490.60 	520.00 
A,18000,PROD_PP,MIO_EUR,IT	54329.41 	51168.50 	52884.23 	50666.43 	52239.47 	54706.39 	54178.04 	54074.94 	57790.58 	68976.97 	68134.67 	70088.99 
A,18000,PROD_PP,MIO_EUR,LT	2646.66 	2575.55 	2715.07 	2510.72 	2808.52 	2577.58 	2877.95 	3133.92 	3343.78 	4908.00 	3972.29 	4020.75 
A,18000,PROD_PP,MIO_EUR,LU	422.71 	462.08 	405.48 	406.18 	429.35 	435.34 	442.64 	440.25 	501.36 	597.08 	596.27 	624.32 
A,18000,PROD_PP,MIO_EUR,LV	1290.28 	1267.20 	1355.48 	1246.80 	1355.93 	1290.48 	1571.58 	1655.65 	1711.39 	2288.48 	1792.59 	1884.46 
A,18000,PROD_PP,MIO_EUR,MK	1375.94 	1399.03 	1424.43 	1425.46 	1289.96 	1434.98 	1368.28 	1437.59 	1295.07 	1505.26 	: 	: 
A,18000,PROD_PP,MIO_EUR,MT	130.37 	125.42 	128.62 	126.12 	121.78 	121.17 	126.40 	121.09 	122.37 	138.36 	141.13 	142.74 
A,18000,PROD_PP,MIO_EUR,NL	31914.14 	30885.56 	30443.18 	30579.57 	32125.61 	31524.89 	32862.30 	31796.25 	34768.04 	40925.71 	41686.80 	41636.50 
A,18000,PROD_PP,MIO_EUR,NO	4400.76 	4386.53 	4404.31 	4399.33 	4307.22 	4011.61 	4197.77 	4096.51 	4509.49 	5300.58 	4631.72 	4787.76 
A,18000,PROD_PP,MIO_EUR,PL	23073.95 	22737.23 	21770.26 	21723.86 	24220.94 	23924.52 	25396.79 	25859.27 	27251.84 	38871.15 	35699.15 	38641.47 
A,18000,PROD_PP,MIO_EUR,PT	6688.82 	6715.59 	7070.88 	6855.55 	7448.39 	7560.26 	8043.77 	8093.49 	9374.27 	10457.06 	12264.81 	12228.36 
A,18000,PROD_PP,MIO_EUR,RO	17756.15 	16770.81 	15465.33 	15443.75 	17180.46 	18553.78 	18963.83 	16824.18 	21107.10 	22218.82 	22215.20 	20211.93 
A,18000,PROD_PP,MIO_EUR,SE	6383.23 	6186.14 	6022.28 	5856.52 	6330.62 	5838.23 	5917.52 	6067.07 	7004.44 	8199.98 	6995.02 	7382.68 
A,18000,PROD_PP,MIO_EUR,SI	1153.55 	1217.18 	1269.56 	1206.89 	1153.01 	1369.95 	1325.15 	1366.89 	1323.03 	1590.90 	1580.67 	1648.30 
A,18000,PROD_PP,MIO_EUR,SK	2405.81 	2385.86 	2154.39 	2362.32 	2364.03 	2290.87 	2233.31 	2325.04 	2463.63 	2982.59 	2889.81 	2761.57 
A,18000,PROD_PP,MIO_EUR,UK	30202.14 	31766.02 	32547.97 	28004.96 	29582.23 	29856.86 	30771.53 	29055.67 e	: 	: 	: 	: 
