freq,itm_newa,indic_ag,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,13000,PROD_BP,MIO_EUR,UK	16449.51 	17487.98 	17767.45 	15221.15 	16141.41 	16312.93 	16426.11 	16574.12 e	: 	: 	: 	: 
A,13000,PROD_PP,MIO_EUR,AT	3409.03 	3407.53 	3221.06 	3196.02 	3582.15 	3510.26 	3607.63 	3595.36 	3726.98 	4479.06 	4738.67 	4732.46 
A,13000,PROD_PP,MIO_EUR,BE	4660.74 	4503.57 	4398.27 	4231.38 	4641.18 	4431.98 	4678.14 	4644.32 	4763.43 	6373.83 	6256.05 	6341.85 
A,13000,PROD_PP,MIO_EUR,BG	1091.31 	1034.69 	933.96 	856.77 	886.27 	872.39 	898.85 	927.55 	932.63 	1120.73 	1225.60 	1161.35 
A,13000,PROD_PP,MIO_EUR,CH	4236.76 	4386.36 	4648.62 	4568.60 	4499.70 	4372.03 	4610.42 	5033.80 	5123.92 	5564.98 	5793.84 	6023.64 
A,13000,PROD_PP,MIO_EUR,CY	355.07 	367.09 	354.78 	399.81 	410.88 	419.09 	431.43 	452.40 	476.93 	473.68 	538.47 	559.81 
A,13000,PROD_PP,MIO_EUR,CZ	1788.63 	1845.78 	1702.61 	1577.45 	1868.32 	1934.42 	1986.44 	1905.60 	1994.98 	2592.69 	2850.04 	2730.42 
A,13000,PROD_PP,MIO_EUR,DE	29626.37 	28877.29 	25901.37 	25119.18 	29307.92 	27804.72 	28818.50 	26520.28 	26967.97 	36688.37 	35920.27 	36206.68 
A,13000,PROD_PP,MIO_EUR,DK	6795.23 	6798.26 	5730.34 	6030.02 	6753.74 	6229.22 	6572.93 	6915.48 	6442.70 	7664.85 	7663.83 	7615.01 
A,13000,PROD_PP,MIO_EUR,EA19	125722.68 	124704.87 	117800.65 	115209.33 	127310.02 	123771.81 	127410.45 	124424.72 	128779.52 	163312.94 	168147.25 	169109.06 
A,13000,PROD_PP,MIO_EUR,EA20	126485.46 	125435.38 	118514.48 	115907.81 	128051.30 	124483.45 	128212.63 	125183.56 	129666.41 	164382.04 	169175.26 	170195.60 
A,13000,PROD_PP,MIO_EUR,EE	447.62 	420.33 	344.04 	341.28 	414.56 	394.36 	411.11 	407.89 	434.23 	631.96 	621.15 	635.17 
A,13000,PROD_PP,MIO_EUR,EL	2603.38 	2555.50 	2564.65 	2478.60 	2553.90 	2511.45 	2426.07 	2391.92 	2497.12 	2865.59 	3250.79 	3283.95 
A,13000,PROD_PP,MIO_EUR,ES	16195.48 	16416.24 	16232.60 	16824.30 	18481.10 	18522.22 	19441.42 	19259.93 	20013.94 	23960.86 	27652.93 	27472.48 
A,13000,PROD_PP,MIO_EUR,EU27_2020	156503.98 	155642.65 	146980.01 	144055.95 	159427.23 	155203.23 	160042.19 	156626.59 	162041.57 	206297.28 	211286.55 	215414.39 
A,13000,PROD_PP,MIO_EUR,FI	2159.52 	2210.83 	1901.51 	1924.59 	1928.54 	1943.06 	1910.92 	1952.13 	1891.89 	2242.71 	2322.09 	2225.46 
A,13000,PROD_PP,MIO_EUR,FR	25826.90 	26299.00 	25131.60 	23796.47 	25187.98 	25180.40 	25792.25 	25775.23 	26332.22 	31989.95 	33639.01 	33339.32 
A,13000,PROD_PP,MIO_EUR,HR	762.78 	730.51 	713.83 	698.48 	741.28 	711.64 	802.18 	758.84 	886.89 	1069.10 	1028.01 	1086.54 
A,13000,PROD_PP,MIO_EUR,HU	2582.15 	2602.65 	2499.63 	2448.37 	2694.48 	2708.04 	2817.63 	2587.83 	2798.51 	3492.13 	4004.27 	3901.93 
A,13000,PROD_PP,MIO_EUR,IE	5279.91 	5221.40 	5401.84 	5298.02 	6256.86 	6074.55 	6069.74 	6445.23 	7477.78 	9655.82 	8174.28 	8921.60 
A,13000,PROD_PP,MIO_EUR,IS	186.13 	205.75 	228.78 	239.27 	252.53 	239.63 	227.74 	212.02 	226.63 	269.49 	290.19 	312.81 
A,13000,PROD_PP,MIO_EUR,IT	16887.09 	16469.54 	15736.10 	15143.00 	16236.34 	15815.50 	15900.73 	15608.32 	16474.84 	20430.91 	21702.44 	22043.68 
A,13000,PROD_PP,MIO_EUR,LT	988.29 	951.83 	818.66 	773.12 	921.95 	893.69 	898.76 	876.29 	960.70 	1376.01 	1221.17 	1273.63 
A,13000,PROD_PP,MIO_EUR,LU	206.27 	219.91 	199.45 	200.98 	235.76 	228.76 	245.53 	248.98 	256.32 	339.84 	328.90 	338.07 
A,13000,PROD_PP,MIO_EUR,LV	496.35 	471.04 	420.20 	399.09 	493.01 	470.65 	489.08 	476.46 	532.25 	728.68 	656.48 	703.47 
A,13000,PROD_PP,MIO_EUR,MK	323.87 	330.35 	341.65 	357.70 	348.16 	308.61 	277.78 	297.91 	251.62 	298.61 	: 	: 
A,13000,PROD_PP,MIO_EUR,MT	73.71 	71.16 	67.50 	67.93 	67.40 	68.59 	70.34 	70.72 	71.39 	78.47 	75.61 	79.01 
A,13000,PROD_PP,MIO_EUR,NL	12364.06 	12052.81 	11102.25 	11184.23 	12430.60 	11435.07 	12040.45 	11586.93 	11798.52 	15894.52 	15322.52 	15272.00 
A,13000,PROD_PP,MIO_EUR,NO	2679.17 	2589.31 	2577.48 	2529.42 	2502.11 	2480.96 	2343.51 	2247.31 	2586.79 	2710.65 	2514.21 	2572.60 
A,13000,PROD_PP,MIO_EUR,PL	10953.36 	11217.95 	11043.45 	10899.68 	12389.33 	12608.29 	13133.03 	12436.95 	13082.09 	18392.60 	17523.08 	20533.79 
A,13000,PROD_PP,MIO_EUR,PT	2656.15 	2781.98 	2721.67 	2552.79 	2770.17 	2753.53 	2867.23 	2824.44 	2842.49 	3513.77 	3966.47 	3985.85 
A,13000,PROD_PP,MIO_EUR,RO	3907.61 	3967.25 	4020.23 	3779.74 	4042.21 	3780.01 	3924.63 	4047.46 	4245.42 	5219.40 	5835.15 	5991.37 
A,13000,PROD_PP,MIO_EUR,SE	2900.22 	2740.69 	2535.31 	2556.11 	2741.57 	2587.42 	2496.05 	2622.15 	2878.83 	3432.83 	3141.19 	3284.93 
A,13000,PROD_PP,MIO_EUR,SI	535.77 	542.40 	522.33 	512.43 	549.30 	553.66 	571.37 	547.49 	565.39 	723.23 	732.06 	730.29 
A,13000,PROD_PP,MIO_EUR,SK	950.98 	865.42 	760.78 	766.12 	840.43 	760.25 	739.74 	740.41 	695.13 	865.70 	979.09 	935.21 
A,13000,PROD_PP,MIO_EUR,UK	16425.06 	17462.35 	17717.05 	15167.30 	16088.71 	16260.68 	16372.52 	16521.20 e	: 	: 	: 	: 
