A,TOTAL,TOTAL,A2000,HLD,HU	25110 	19800 	19120 	18170 	18240 	16590 	13980 
A,TOTAL,TOTAL,A2000,HLD,IE	112820 	104930 	111000 	111320 	109400 	103390 	: 
A,TOTAL,TOTAL,A2000,HLD,IS	: 	: 	910 	: 	: 	740 	: 
A,TOTAL,TOTAL,A2000,HLD,IT	143800 	146990 	125880 	105970 	97560 	96180 	: 
A,TOTAL,TOTAL,A2000,HLD,LT	181470 	132600 	93050 	75340 	62290 	37280 	29610 i
A,TOTAL,TOTAL,A2000,HLD,LU	1560 	1480 	1460 	1340 	1260 	1190 	1130 
A,TOTAL,TOTAL,A2000,HLD,LV	54270 	47350 	35100 	28960 	24140 	16400 	: 
A,TOTAL,TOTAL,A2000,HLD,ME	: 	: 	24620 	: 	: 	: 	: 
A,TOTAL,TOTAL,A2000,HLD,MK	: 	: 	: 	38270 	: 	: 	: 
A,TOTAL,TOTAL,A2000,HLD,MT	310 	230 	290 	300 	350 	240 	210 
A,TOTAL,TOTAL,A2000,HLD,NL	37320 	35260 	32830 	30240 	26630 	24020 	22480 
A,TOTAL,TOTAL,A2000,HLD,NO	21770 	19630 	16900 	15170 	14100 	13040 	: 
A,TOTAL,TOTAL,A2000,HLD,PL	783490 	718260 	514120 	424400 	343220 	273760 	: 
A,TOTAL,TOTAL,A2000,HLD,PT	61830 	52130 	50040 	40730 	43380 	36100 	31620 
A,TOTAL,TOTAL,A2000,HLD,RO	1233370 	1067730 	728020 	635220 	541140 	331620 	295870 
A,TOTAL,TOTAL,A2000,HLD,RS	: 	: 	177290 	: 	: 	: 	: 
A,TOTAL,TOTAL,A2000,HLD,SE	26180 	23880 	21590 	18960 	17050 	15430 	14560 
A,TOTAL,TOTAL,A2000,HLD,SI	43680 	40840 	36120 	34090 	32810 	28600 	: 
A,TOTAL,TOTAL,A2000,HLD,SK	16620 	15450 	9310 	9290 	7950 	6460 	4980 
A,TOTAL,TOTAL,A2000,HLD,UK	107810 	94620 	85760 	83630 	81590 	: 	: 
A,TOTAL,TOTAL,A3100,HLD,AT	52350 	45490 	37760 	29420 	26340 	24730 	22280 
A,TOTAL,TOTAL,A3100,HLD,BE	7720 	6990 	5890 	4970 	4530 	4230 	: 
A,TOTAL,TOTAL,A3100,HLD,BG	190860 	153860 	82270 	50100 	30140 	3370 	3090 i
A,TOTAL,TOTAL,A3100,HLD,CH	11770 	10420 	8850 	: 	6640 	5650 	: 
A,TOTAL,TOTAL,A3100,HLD,CY	600 	740 	630 	500 	420 	160 	150 
A,TOTAL,TOTAL,A3100,HLD,CZ	14590 	11390 	4000 	5040 	4040 	3100 	2700 
A,TOTAL,TOTAL,A3100,HLD,DE	88680 	79420 	60100 	49140 	40210 	31850 	27600 
A,TOTAL,TOTAL,A3100,HLD,DK	9020 	7210 	5070 	3860 	3290 	2970 	: 
A,TOTAL,TOTAL,A3100,HLD,EE	4710 	2890 	1550 	750 	150 	70 	70 
A,TOTAL,TOTAL,A3100,HLD,EL	44510 	33310 	19330 	18940 	17830 	5910 	4770 
A,TOTAL,TOTAL,A3100,HLD,ES	115760 	108160 	69770 	51770 	44930 	34370 	31710 i
A,TOTAL,TOTAL,A3100,HLD,EU27_2020	: 	3614130 	2872680 	2181200 	1955750 	1181040 	: 
A,TOTAL,TOTAL,A3100,HLD,FI	3080 	2820 	2080 	1640 	1240 	920 	: 
A,TOTAL,TOTAL,A3100,HLD,FR	41890 	35290 	24450 	18520 	16320 	14400 	14190 
A,TOTAL,TOTAL,A3100,HLD,HR	: 	106060 	128060 	75590 	54830 	45810 	35710 
A,TOTAL,TOTAL,A3100,HLD,HU	316480 	282510 	183100 	133930 	111480 	48450 	24740 
A,TOTAL,TOTAL,A3100,HLD,IE	840 	800 	1210 	1290 	1340 	1380 	: 
A,TOTAL,TOTAL,A3100,HLD,IS	: 	: 	20 	: 	: 	20 	: 
A,TOTAL,TOTAL,A3100,HLD,IT	102780 	100950 	26200 	23640 	24950 	38150 	: 
A,TOTAL,TOTAL,A3100,HLD,LT	151830 	95300 	62710 	57400 	31930 	8380 	4890 i
A,TOTAL,TOTAL,A3100,HLD,LU	210 	180 	140 	110 	100 	70 	70 
A,TOTAL,TOTAL,A3100,HLD,LV	39050 	29570 	18170 	12710 	11500 	3650 	: 
A,TOTAL,TOTAL,A3100,HLD,ME	: 	: 	13470 	: 	: 	: 	: 
A,TOTAL,TOTAL,A3100,HLD,MK	: 	: 	: 	43720 	: 	: 	: 
A,TOTAL,TOTAL,A3100,HLD,MT	140 	140 	130 	110 	100 	90 	80 
A,TOTAL,TOTAL,A3100,HLD,NL	9690 	8690 	7030 	5530 	4510 	3560 	3190 
A,TOTAL,TOTAL,A3100,HLD,NO	3470 	2970 	2470 	2270 	2440 	1940 	: 
A,TOTAL,TOTAL,A3100,HLD,PL	701660 	664020 	388460 	278400 	172250 	85010 	: 
A,TOTAL,TOTAL,A3100,HLD,PT	82620 	67140 	50080 	40590 	39670 	28360 	27970 
