A,TOTAL,PER_NTL,HLD,CZ	39110 	35880 	19780 	23350 	23400 	24650 	28040 
A,TOTAL,PER_NTL,HLD,DE	360540 	341150 	273030 	256050 	244630 	228260 	217790 
A,TOTAL,PER_NTL,HLD,DK	51280 	43670 	39510 	36590 	33220 	33840 	: 
A,TOTAL,PER_NTL,HLD,EE	25270 	20770 	17890 	16880 	13310 	7710 	6620 
A,TOTAL,PER_NTL,HLD,EL	770450 	796890 	722400 	708700 	684250 	529730 	484030 
A,TOTAL,PER_NTL,HLD,ES	886190 	847340 	929690 	903390 	880640 	853450 	738520 i
A,TOTAL,PER_NTL,HLD,EU27_2020	: 	12713220 	11701000 	10224500 	9897840 	8665560 	: 
A,TOTAL,PER_NTL,HLD,FI	30240 	29640 	57360 	48120 	43500 	39310 	: 
A,TOTAL,PER_NTL,HLD,FR	428440 	383950 	365290 	315370 	296110 	231450 	: 
A,TOTAL,PER_NTL,HLD,HR	: 	168760 	231070 	154400 	130260 	139500 	142540 
A,TOTAL,PER_NTL,HLD,HU	701060 	615730 	564180 	479260 	421270 	223370 	180300 
A,TOTAL,PER_NTL,HLD,IE	119960 	121600 	139560 	139100 	137140 	119690 	: 
A,TOTAL,PER_NTL,HLD,IS	: 	: 	2190 	: 	: 	1710 	: 
A,TOTAL,PER_NTL,HLD,IT	1620460 	1590190 	1603710 	995870 	1129400 	1114130 	: 
A,TOTAL,PER_NTL,HLD,LT	247650 	223040 	199240 	171110 	149410 	130800 	118770 i
A,TOTAL,PER_NTL,HLD,LU	2150 	2000 	2060 	1920 	1840 	1800 	: 
A,TOTAL,PER_NTL,HLD,LV	123140 	104470 	81820 	80450 	69050 	68000 	: 
A,TOTAL,PER_NTL,HLD,ME	: 	: 	48820 	: 	: 	: 	: 
A,TOTAL,PER_NTL,HLD,MK	: 	: 	: 	170580 	: 	: 	: 
A,TOTAL,PER_NTL,HLD,MT	10350 	10300 	12280 	9220 	9190 	7610 	7950 
A,TOTAL,PER_NTL,HLD,NL	75730 	71100 	68140 	63220 	51600 	47980 	45270 
A,TOTAL,PER_NTL,HLD,NO	9400 	9390 	43770 	41160 	38950 	36690 	: 
A,TOTAL,PER_NTL,HLD,PL	2422650 	2306020 	1502470 	1425390 	1406570 	1294120 	: 
A,TOTAL,PER_NTL,HLD,PT	309320 	259720 	297380 	253490 	246150 	274250 	243630 
A,TOTAL,PER_NTL,HLD,RO	4173140 	3869760 	3828350 	3601780 	3395930 	2861670 	2834230 
A,TOTAL,PER_NTL,HLD,RS	: 	: 	628550 	: 	: 	: 	: 
A,TOTAL,PER_NTL,HLD,SE	25350 	25870 	65960 	: 	57710 	53490 	50700 
A,TOTAL,PER_NTL,HLD,SI	77040 	75210 	74430 	72180 	69670 	72160 	: 
A,TOTAL,PER_NTL,HLD,SK	65280 	65870 	22190 	20820 	22460 	16020 	13900 
A,TOTAL,PER_NTL,HLD,UK	56930 	47700 	179370 	177170 	178640 	: 	: 
A,TOTAL,TOTAL,HLD,AT	153270 	143600 	150170 	140430 	132500 	110780 	101040 
A,TOTAL,TOTAL,HLD,BE	51430 	47910 	42850 	37760 	36890 	36000 	: 
A,TOTAL,TOTAL,HLD,BG	532510 	492180 	370490 	254410 	201280 	132740 	107630 i
A,TOTAL,TOTAL,HLD,CH	63630 	61760 	59070 	: 	52260 	49360 	: 
A,TOTAL,TOTAL,HLD,CY	42880 	36670 	38860 	35380 	34950 	34050 	32020 
A,TOTAL,TOTAL,HLD,CZ	41950 	38820 	22860 	26250 	26530 	28910 	33170 
A,TOTAL,TOTAL,HLD,DE	384120 	365300 	299130 	285030 	276120 	262780 	255010 
A,TOTAL,TOTAL,HLD,DK	51680 	44620 	41360 	38280 	35050 	37090 	: 
A,TOTAL,TOTAL,HLD,EE	26150 	22210 	19610 	19190 	16700 	11370 	10710 
A,TOTAL,TOTAL,HLD,EL	770960 	797530 	723060 	709500 	684950 	530730 	486000 
A,TOTAL,TOTAL,HLD,ES	937790 	903190 	989800 	965000 	945020 	914870 	802450 i
A,TOTAL,TOTAL,HLD,EU27_2020	: 	13027050 	12055360 	10583510 	10281350 	9070950 	: 
A,TOTAL,TOTAL,HLD,FI	33250 	32760 	63870 	54400 	49710 	45630 	: 
A,TOTAL,TOTAL,HLD,FR	567080 	527320 	516100 	472210 	456520 	393030 	: 
A,TOTAL,TOTAL,HLD,HR	: 	169890 	233280 	157440 	134460 	143930 	146840 
A,TOTAL,TOTAL,HLD,HU	708960 	623380 	571660 	486760 	430000 	232060 	189180 
A,TOTAL,TOTAL,HLD,IE	120140 	121760 	139890 	139600 	137560 	130220 	: 
A,TOTAL,TOTAL,HLD,IS	: 	: 	2590 	: 	: 	2090 	: 
A,TOTAL,TOTAL,HLD,IT	1649530 	1606130 	1620880 	1010330 	1145710 	1133020 	: 
A,TOTAL,TOTAL,HLD,LT	248200 	223600 	199910 	171800 	150320 	132080 	119620 i
A,TOTAL,TOTAL,HLD,LU	2190 	2040 	2200 	2080 	1970 	1880 	: 
A,TOTAL,TOTAL,HLD,LV	123660 	105380 	83390 	81800 	69930 	68980 	: 
A,TOTAL,TOTAL,HLD,ME	: 	: 	48870 	: 	: 	: 	: 
A,TOTAL,TOTAL,HLD,MK	: 	: 	: 	170880 	: 	: 	: 
A,TOTAL,TOTAL,HLD,MT	10570 	10520 	12530 	9360 	9310 	7650 	7980 
A,TOTAL,TOTAL,HLD,NL	81500 	76440 	72320 	67480 	55680 	52640 	50560 
A,TOTAL,TOTAL,HLD,NO	10660 	10810 	46630 	43270 	41120 	38710 	: 
A,TOTAL,TOTAL,HLD,PL	2426300 	2309730 	1506620 	1429010 	1410700 	1302330 	: 
A,TOTAL,TOTAL,HLD,PT	316170 	266240 	305270 	264420 	258980 	290230 	261500 
A,TOTAL,TOTAL,HLD,RO	4191410 	3887460 	3859040 	3629660 	3422030 	2887070 	2859360 
A,TOTAL,TOTAL,HLD,RS	: 	: 	631550 	: 	: 	: 	: 
A,TOTAL,TOTAL,HLD,SE	28660 	29140 	71090 	: 	62940 	58790 	56170 
A,TOTAL,TOTAL,HLD,SI	77170 	75340 	74650 	72380 	69900 	72470 	: 
A,TOTAL,TOTAL,HLD,SK	67090 	67910 	24460 	23570 	25660 	19630 	17520 
A,TOTAL,TOTAL,HLD,UK	60700 	51390 	186420 	183040 	183920 	: 	: 
A,TOTAL,UNIT_CML,HLD,AT	: 	: 	2720 	2770 	2450 	: 	: 
A,TOTAL,UNIT_CML,HLD,BG	: 	: 	260 	260 	260 	: 	5 i
A,TOTAL,UNIT_CML,HLD,CY	: 	: 	350 	230 	: 	: 	: 
A,TOTAL,UNIT_CML,HLD,DE	: 	: 	: 	: 	: 	220 	230 
A,TOTAL,UNIT_CML,HLD,EL	: 	: 	50 	50 	50 	50 	50 
A,TOTAL,UNIT_CML,HLD,ES	: 	: 	4700 	3800 	3370 	: 	20 i
A,TOTAL,UNIT_CML,HLD,EU27_2020	: 	: 	14790 	12870 	11380 	6770 	: 
A,TOTAL,UNIT_CML,HLD,FR	: 	: 	1410 	1270 	1130 	: 	: 
A,TOTAL,UNIT_CML,HLD,HR	: 	: 	: 	10 	10 	20 	20 
A,TOTAL,UNIT_CML,HLD,HU	: 	: 	20 	20 	10 	: 	: 
A,TOTAL,UNIT_CML,HLD,IE	: 	: 	30 	30 	: 	20 	: 
A,TOTAL,UNIT_CML,HLD,IT	: 	: 	2230 	1450 	620 	2500 	: 
A,TOTAL,UNIT_CML,HLD,PL	: 	: 	: 	: 	50 	840 	: 
A,TOTAL,UNIT_CML,HLD,PT	: 	: 	370 	240 	630 	630 	640 
A,TOTAL,UNIT_CML,HLD,RO	: 	: 	2650 	2720 	2800 	2490 	: 
A,TOTAL,UNIT_CML,HLD,RS	: 	: 	160 	: 	: 	: 	: 
A,TOTAL,UNIT_CML,HLD,UK	: 	: 	: 	110 	110 	: 	: 
