A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,LT	252.95 	230.27 	199.91 	171.80 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,LU	2.45 	2.30 	2.20 	2.08 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,LV	128.67 	107.75 	83.39 	81.80 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,ME	: 	: 	48.87 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,MT	11.07 	11.02 	12.53 	9.36 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,NL	81.83 	76.74 	72.32 	67.48 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,NO	53.00 	49.94 	46.62 	43.27 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,PL	2476.47 	2390.96 	1506.62 	1429.01 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,PT	323.92 	275.08 	305.27 	264.42 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,RO	4256.15 	3931.35 	3859.04 	3629.66 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,SE	75.81 	72.61 	71.09 	67.15 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,SI	77.17 	75.34 	74.65 	72.38 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,SK	68.49 	68.99 	24.46 	23.57 
A,TOTAL,HOLD_HOLD,THS,TOTAL,TOTAL,UK	286.75 	226.66 	185.20 	183.04 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,AT	50.28 	46.25 	38.89 	32.80 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,BE	11.36 	9.58 	6.97 	4.89 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,BG	54.65 	45.51 	43.19 	32.11 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,CH	: 	: 	13.41 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,CY	6.69 	4.97 	3.82 	2.48 
